2.5999999999999943,100,0.5056997153478968,Pose ikke lukket,Hvertfall 60cm. Minst! ,98
new first line
height corrected, height measured, Leakage, reason, length, number of measurments

2.5999999999999943,100,0.9005329809859579,Chip i søm,Hvertfall 60cm. Minst! ,66
2.5999999999999943,100,0.01886998730939038,Hull i pose,Hvertfall 60cm. Minst! ,82
new first line
height corrected, height measured, Leakage, reason, length, number of measurments

2.5999999999999943,100,0.9005329809859579,Chip i søm,Hvertfall 60cm. Minst! ,66
2.5999999999999943,100,0.01886998730939038,Hull i pose,Hvertfall 60cm. Minst! ,82
